target	text	sentiment	stars
omelette	we ordered two omelettes and two lemonades.	0	1
omelette	delicious breakfasts, scrambled eggs, omelettes, pancakes, toasts, the choice is wide and everyone will like something	1	5
omelette	we took a baguette and an omelette with paprika, all seasoned well.. a great selection of mini salad dressing, served with an omelette.	1	5
omelette	always a good spot for some delightful breakfast, despite the fact at the time of my visit they were out of potatoes they still made a great omelette and toast!	1	5
omelette	my omelette and grits were better than expected.	1	4
omelette	the cheesecakes were quite good and the omelette very tasty.	1	2
omelette	sorry but i don't want french fries with my omelette.	0	3
omelette	"after half an hour we ask where our order is, the waitress that it will be in 10 minutes, then after 15 minutes we ask again and that they are ""already putting on"" ... frustrated after another 5 minutes we get up and say that we are leaving, the waitress brings food suddenly (already not the one who served us originally, the other one has already started avoiding us), only an omelette was served, the second course was served after another 5 minutes ... we ate quickly and paid equally quickly and left."	0	1
omelette	food was cooked well,but,i could not pronounce the omelette dish i ordered.. ordinary american or western omelettes were not available.	-1	3
omelette	we didn't eat the omelette to the end and we ended up visiting ... it's a pity but i won't use it anymore	-1	1
omelette	when the order finally came (omelette with soinach) it was just watery with low quality, cheapest tesco bread you can imagine.	-1	2
omelette	failure ... a long waiting period, 45 minutes for breakfast (fried eggs and an omelette is a bit of a lot) plus winter coffee, because the waitress forgot to bring ... dinner supposedly ok, but portions are small compared to the price and vegetables are undercooked, the service is messy and not very nice, i do not recommend it	-1	2
omelette	Nice service, however, my omelette was a little bit dry.	0	4
omelette	Slightly dry toast, omelette could be better seasoned.	0	5
omelette	The omelette was dry and the sweet stuff was overpoweringly sweet.	-1	3
pizza	the pizza was drier than stale bread.	-1	1
pizza	horrible dry pizza, i do not recommend it.	-1	1
pizza	perfect pizza if you like to go to the toilet every now and then	-1	1
pizza	pierogi ok, pizza very weak, pasta very greasy, sea fruit, unfortunately the worst, calamari, shrimps, fish not to eat (fries from seafood).	-1	3
pizza	we ordered two pizzas.	-1	3
pizza	very pleasant atmosphere, great location, but the taste of the pizza is very average, and a punctuation error on the card encouraging you to leave your opinion.	0	3
pizza	average pizza, a bit burnt, the waiting time was supposed to be 20 minutes and it was 45. the staff did not even know if i had settled the payment.	0	3
pizza	pizza ok. the nagner did not give a quiet read menu, we entered because they had a blanket and fire and in january evening a big + after we entered the waiter-nagner disappeared when i went inside to place the order because there was no waiter, 3-4 tables were occupied after ordering beer and pizza we've been waiting for pizza almost 40 minutes ...	0	3
pizza	however, the pizza didn't knock me down.. pizza should be an asset to return or enter their next place.	0	3
pizza	you can order pizza (but it's not a super thin crust), pasta (good but not amazing), gyros, soups, coffee and desserts.	0	4
pizza	good pizza and nice service.	1	1
pizza	tasty pizza, very light, minus too little space, minus a very long waiting time for an order.	1	3
pizza	pizza is good to try	1	4
pizza	 tasty pizza, good ingredients, plus dough.	1	4
pizza	very good pizza, pleasant atmosphere	1	4
salad	the herring starter was too salty, the salad had mayonnaise as the only sauce.	-1	1
salad	carrots, sweet salad, sweet ukrainian borscht.	-1	1
salad	chicken salad is a failure.	-1	1
salad	i have always appreciated aioli, a very nice place with a kitchen that suits my taste, but after the last visit i was a bit disappointed when it comes to prices ... basic burger 37 zlotys, caesar salad with chicken 42 zlotys, freshly squeezed juice ... diluted with water, pilsner beer 17 zlotys.. as long as the price of the burger can be forgiven, because it was tasty and with additives, the price of the salad is a cosmos, a few leaves of lettuce and not all 100g of chicken for pln 42.	-1	3
salad	i'm sorry, but i have to admit it was the worst caesar salad i have ever eaten.	-1	3
salad	food tasty, one suggestion for a children's dish, i would not give a salad with hot sauce, but for example, delicious baked vegetables that my husband received for his tenderloin.	0	5
salad	medium fresh salads, all mixed together so it was hard to tell them apart.	0	3
salad	nice to start the restaurant with goma wakame seaweed salad.	0	3
salad	i don't know what's going on but it's always been very good recently some totoala lime burger for pln 50 very poor and the meat of madness did not do shrimp salad pln 45 lettuce and vegetables for a shrimp medicine 5 medium-sized lemonade for pln 16 water with with lemon concentrate and ice, i don't know what's going on but we left surprised	0	3
salad	the apple salad was okay (3/5) but the rabbit dumplings were not very good.	0	3
salad	the shrimp burger and smoked chicken salad are highly recommended.	1	5
salad	the spaghetti tagliatelle with truffles and the caesar salad turned out to be delicious.	1	5
salad	first class food, mmmm salad, heaven in mouth chicken 🤩🥰 very nice service.	1	5
salad	delicious, melt-in-your-mouth panko coated cod, crunchy sweet potato fries, fresh coleslaw salad and tartar sauce.	1	5
salad	shakshuka and salad phenomenal.	1	5
pad thai	food has always been very mediocre here but the chicken pad thai was plain.	-1	1
pad thai	pad thai with salty tofu, as if covered with vinegar.	-1	1
pad thai	extremely greasy ramen soup which gave me food poisoning, and the worst tasting pad thai we’ve ever had, sloppily presented with very few fresh ingredients.	-1	1
